[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1708621936.103000 2/22/2024, 6:12:16 PM
INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082
INFO, NAME, Kristine_NCCO_asgrown
INFO, WEIGHT, 0.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, Need to measure mass after
INFO, SEQUENCE FILE: ZFCFC_2_50K_10Oe.seq
INFO, BACKGROUND DATA FILE:, None
STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000
STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES
[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1708621936.103,0,1.000000e+001,1.800991e+000,1.147516e-002,3.727525e-007,3,9.162943e-001,3.248343e-003,,,,,,,,,,,,,,32,3,4.000000e+000,6.300211e-004,0.000000e+000,0,,0,
1708622048.032,0,1.000000e+001,2.462026e+000,1.084345e-002,1.262931e-004,3,9.161263e-001,1.164695e+000,,,,,,,,,,,,,,32,3,4.000000e+000,2.635698e-001,0.000000e+000,0,,0,
1708622102.987,0,1.000000e+001,2.917569e+000,1.011042e-002,1.178743e-004,3,9.160740e-001,1.165869e+000,,,,,,,,,,,,,,32,3,4.000000e+000,1.981502e-001,0.000000e+000,0,,0,
1708622170.467,0,1.000000e+001,3.409942e+000,9.390818e-003,8.736030e-005,3,9.160450e-001,9.302736e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.849952e-001,0.000000e+000,0,,0,
1708622239.979,0,1.000000e+001,3.910647e+000,8.776733e-003,6.872037e-005,3,9.159999e-001,7.829835e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.687429e-001,0.000000e+000,0,,0,
1708622312.304,0,1.000000e+001,4.378597e+000,8.256355e-003,5.030493e-005,3,9.159759e-001,6.092874e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.245589e-001,0.000000e+000,0,,0,
1708622419.407,0,1.000000e+001,5.139931e+000,7.372914e-003,5.103990e-005,3,9.160071e-001,6.922622e-001,,,,,,,,,,,,,,32,3,4.000000e+000,3.357482e-001,0.000000e+000,0,,0,
1708622448.232,0,1.000000e+001,5.408357e+000,7.392677e-003,4.111586e-005,3,9.159598e-001,5.561701e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.892409e-001,0.000000e+000,0,,0,
1708622504.968,0,1.000000e+001,5.917718e+000,7.000800e-003,5.063937e-005,3,9.158779e-001,7.233369e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.720328e-001,0.000000e+000,0,,0,
1708622562.795,0,1.000000e+001,6.404978e+000,6.653263e-003,4.747793e-005,3,9.158020e-001,7.136037e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.627350e-001,0.000000e+000,0,,0,
1708622624.334,0,1.000000e+001,6.907896e+000,6.312441e-003,4.310761e-005,3,9.158345e-001,6.828992e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.653218e-001,0.000000e+000,0,,0,
1708622683.755,0,1.000000e+001,7.408762e+000,6.008053e-003,3.609584e-005,3,9.158145e-001,6.007910e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.583123e-001,0.000000e+000,0,,0,
