[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1708723609.127000 2/23/2024, 10:26:49 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, Kristine_NCCO_SC_Canada
INFO, WEIGHT, 0.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, Need to measure mass after
INFO, SEQUENCE FILE: ZFCFC_2_50K_10Oe.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1708723609.127,,1.000000e+001,1.800814e+000,-2.114494e-001,1.555727e-007,3,9.418009e-001,7.357442e-005,,,,,,,,,,,,,,32,3,4.000000e+000,1.334071e-003,0.000000e+000,0,,0,
1708723803.217,,1.000000e+001,2.343911e+000,-2.114763e-001,6.916370e-006,3,9.416885e-001,3.270519e-003,,,,,,,,,,,,,,32,3,4.000000e+000,3.697300e-002,0.000000e+000,0,,0,
1708723981.273,,1.000000e+001,2.847054e+000,-2.114883e-001,5.885572e-006,3,9.416799e-001,2.782931e-003,,,,,,,,,,,,,,32,3,4.000000e+000,2.856088e-002,0.000000e+000,0,,0,
1708724097.855,,1.000000e+001,3.168666e+000,-2.114819e-001,4.341637e-006,3,9.416727e-001,2.052960e-003,,,,,,,,,,,,,,32,3,4.000000e+000,6.494617e-002,0.000000e+000,0,,0,
1708724316.761,,1.000000e+001,3.758556e+000,-2.114771e-001,6.000063e-006,3,9.416967e-001,2.837216e-003,,,,,,,,,,,,,,32,3,4.000000e+000,2.608609e-002,0.000000e+000,0,,0,
1708724519.562,,1.000000e+001,4.154277e+000,-2.114628e-001,4.691110e-006,3,9.416878e-001,2.218409e-003,,,,,,,,,,,,,,32,3,4.000000e+000,1.945257e-002,0.000000e+000,0,,0,
1708724801.408,,1.000000e+001,4.464270e+000,-2.114335e-001,4.738136e-006,3,9.417474e-001,2.240958e-003,,,,,,,,,,,,,,32,3,4.000000e+000,1.494122e-002,0.000000e+000,0,,0,
1708725086.557,,1.000000e+001,5.321266e+000,-2.113879e-001,6.080048e-006,3,9.417697e-001,2.876251e-003,,,,,,,,,,,,,,32,3,4.000000e+000,1.316690e-002,0.000000e+000,0,,0,
1708725286.335,,1.000000e+001,5.816504e+000,-2.113531e-001,3.099495e-006,3,9.417660e-001,1.466501e-003,,,,,,,,,,,,,,32,3,4.000000e+000,3.016949e-003,0.000000e+000,0,,0,
1708725485.565,,1.000000e+001,6.319892e+000,-2.113037e-001,3.749782e-006,3,9.417682e-001,1.774594e-003,,,,,,,,,,,,,,32,3,4.000000e+000,1.109219e-002,0.000000e+000,0,,0,
