[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1708945254.916000 2/26/2024, 12:00:54 PM
INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082
INFO, NAME, Kristine_NCCO_P_Copenhagen_annealed
INFO, WEIGHT, 0.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, Powder sample
INFO, SEQUENCE FILE: ZFCFC_2_50K_10Oe.seq
INFO, BACKGROUND DATA FILE:, None
STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000
STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES
[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1708945254.916,,1.000000e+001,1.796905e+000,-8.757521e-003,1.461953e-005,3,9.934140e-001,1.669368e-001,,,,,,,,,,,,,,32,3,4.000000e+000,7.419586e-004,0.000000e+000,0,,0,
1708945349.280,,1.000000e+001,2.421582e+000,-8.769195e-003,1.252806e-005,3,9.930221e-001,1.428645e-001,,,,,,,,,,,,,,32,3,4.000000e+000,2.059979e-001,0.000000e+000,0,,0,
1708945413.797,,1.000000e+001,2.905593e+000,-8.761308e-003,1.708402e-005,3,9.930446e-001,1.949940e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.841130e-001,0.000000e+000,0,,0,
1708945479.162,,1.000000e+001,3.394841e+000,-8.757355e-003,1.013173e-005,3,9.930672e-001,1.156939e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.723962e-001,0.000000e+000,0,,0,
1708945538.617,,1.000000e+001,3.970461e+000,-8.755554e-003,8.800625e-006,3,9.933284e-001,1.005148e-001,,,,,,,,,,,,,,32,3,4.000000e+000,2.194622e-001,0.000000e+000,0,,0,
1708945592.031,,1.000000e+001,4.417811e+000,-8.753795e-003,1.329307e-005,3,9.934192e-001,1.518550e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.931019e-001,0.000000e+000,0,,0,
1708945657.261,,1.000000e+001,4.930214e+000,-8.753248e-003,8.191809e-006,3,9.933298e-001,9.358593e-002,,,,,,,,,,,,,,32,3,4.000000e+000,1.926432e-001,0.000000e+000,0,,0,
1708945708.680,,1.000000e+001,5.406843e+000,-8.740974e-003,1.243609e-005,3,9.934565e-001,1.422736e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.638432e-001,0.000000e+000,0,,0,
1708945769.306,,1.000000e+001,5.913296e+000,-8.730676e-003,1.606271e-005,3,9.934304e-001,1.839801e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.719222e-001,0.000000e+000,0,,0,
1708945829.509,,1.000000e+001,6.421391e+000,-8.712866e-003,1.964854e-005,3,9.934812e-001,2.255118e-001,,,,,,,,,,,,,,32,3,4.000000e+000,1.725073e-001,0.000000e+000,0,,0,
